variant_id,chaos_engine,memory_type,seed_strategy,warmup,quant_k,dt
V01,lorenz,opensimplex,neighborhood3,100,100000.0,0.01
V02,lorenz,opensimplex,neighborhood3,100,10000000.0,0.01
V03,lorenz,opensimplex,neighborhood3,1000,100000.0,0.01
V04,lorenz,opensimplex,neighborhood3,1000,10000000.0,0.01
V05,lorenz,opensimplex,window_mean_3x3,100,100000.0,0.01
V06,lorenz,opensimplex,window_mean_3x3,100,10000000.0,0.01
V07,lorenz,opensimplex,window_mean_3x3,1000,100000.0,0.01
V08,lorenz,opensimplex,window_mean_3x3,1000,10000000.0,0.01
V09,lorenz,perlin,neighborhood3,100,100000.0,0.01
V10,lorenz,perlin,neighborhood3,100,10000000.0,0.01
V11,lorenz,perlin,neighborhood3,1000,100000.0,0.01
V12,lorenz,perlin,neighborhood3,1000,10000000.0,0.01
V13,lorenz,perlin,window_mean_3x3,100,100000.0,0.01
V14,lorenz,perlin,window_mean_3x3,100,10000000.0,0.01
V15,lorenz,perlin,window_mean_3x3,1000,100000.0,0.01
V16,lorenz,perlin,window_mean_3x3,1000,10000000.0,0.01
V17,rossler,opensimplex,neighborhood3,100,100000.0,0.01
V18,rossler,opensimplex,neighborhood3,100,10000000.0,0.01
V19,rossler,opensimplex,neighborhood3,1000,100000.0,0.01
V20,rossler,opensimplex,neighborhood3,1000,10000000.0,0.01
V21,rossler,opensimplex,window_mean_3x3,100,100000.0,0.01
V22,rossler,opensimplex,window_mean_3x3,100,10000000.0,0.01
V23,rossler,opensimplex,window_mean_3x3,1000,100000.0,0.01
V24,rossler,opensimplex,window_mean_3x3,1000,10000000.0,0.01
V25,rossler,perlin,neighborhood3,100,100000.0,0.01
V26,rossler,perlin,neighborhood3,100,10000000.0,0.01
V27,rossler,perlin,neighborhood3,1000,100000.0,0.01
V28,rossler,perlin,neighborhood3,1000,10000000.0,0.01
V29,rossler,perlin,window_mean_3x3,100,100000.0,0.01
V30,rossler,perlin,window_mean_3x3,100,10000000.0,0.01
V31,rossler,perlin,window_mean_3x3,1000,100000.0,0.01
V32,rossler,perlin,window_mean_3x3,1000,10000000.0,0.01
